originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
% Survivorship,%,0,Helicoverpa armigera,15,celcius,.,.,Total
% Survivorship,%,28.1,Helicoverpa armigera,17.5,celcius,.,.,Total
% Survivorship,%,31.11,Helicoverpa armigera,20,celcius,.,.,Total
% Survivorship,%,45.37,Helicoverpa armigera,25,celcius,.,.,Total
% Survivorship,%,56.41,Helicoverpa armigera,27.5,celcius,.,.,Total
% Survivorship,%,16.36,Helicoverpa armigera,30,celcius,.,.,Total
% Survivorship,%,11.67,Helicoverpa armigera,32.5,celcius,.,.,Total
% Survivorship,%,3.96,Helicoverpa armigera,35,celcius,.,.,Total
% Survivorship,%,0.31,Helicoverpa armigera,37.5,celcius,.,.,Total
% Survivorship,%,0,Helicoverpa armigera,40,celcius,.,.,Total
Fecundity,Average eggs per day,4.04± 0.41e,Helicoverpa armigera,15,celcius,.,.,.
Fecundity,Average eggs per day,18.40± 1.70cde,Helicoverpa armigera,17.5,celcius,.,.,.
Fecundity,Average eggs per day,21.20± 2.31cde,Helicoverpa armigera,20,celcius,.,.,.
Fecundity,Average eggs per day,49.31± 4.62a,Helicoverpa armigera,25,celcius,.,.,.
Fecundity,Average eggs per day,43.52± 3.14ab,Helicoverpa armigera,27.5,celcius,.,.,.
Fecundity,Average eggs per day,41.29± 3.43ab,Helicoverpa armigera,30,celcius,.,.,.
Fecundity,Average eggs per day,20.01± 3.43cde,Helicoverpa armigera,32.5,celcius,.,.,.
Fecundity,Average eggs per day,12.25± 1.98de,Helicoverpa armigera,35,celcius,.,.,.
